variable,data_type,non_null_count
date,datetime64[us],14100
air_quality_index,float64,14100
cardio_mortality_rate,float64,14100
food_security_index,float64,14100
gdp_per_capita_usd,float64,14100
healthcare_access_index,float64,14100
heat_related_admissions,float64,14100
latitude,float64,14100
longitude,float64,14100
mental_health_index,float64,14100
pm25_ugm3,float64,14100
precipitation_mm,float64,14100
respiratory_disease_rate,float64,14100
temp_anomaly_celsius,float64,14100
temperature_celsius,float64,14100
vector_disease_risk_score,float64,14100
waterborne_disease_incidents,float64,14100
drought_indicator,int64,14100
extreme_weather_events,int64,14100
flood_indicator,int64,14100
heat_wave_days,int64,14100
month,int64,14100
population_millions,int64,14100
record_id,int64,14100
week,int64,14100
year,int64,14100
country_code,str,14100
country_name,str,14100
income_level,str,14100
region,str,14100
