feature,train_missing,validation_missing,test_missing,note
respiratory_disease_rate_lag1,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
pm25_ugm3_lag1,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
air_quality_index_lag1,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
temperature_celsius_lag1,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
temp_anomaly_celsius_lag1,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
precipitation_mm_lag1,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
heat_wave_days_lag1,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
extreme_weather_events_lag1,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
respiratory_disease_rate_lag2,50,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
pm25_ugm3_lag2,50,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
air_quality_index_lag2,50,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
temperature_celsius_lag2,50,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
temp_anomaly_celsius_lag2,50,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
precipitation_mm_lag2,50,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
heat_wave_days_lag2,50,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
extreme_weather_events_lag2,50,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
respiratory_disease_rate_lag4,100,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
pm25_ugm3_lag4,100,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
air_quality_index_lag4,100,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
temperature_celsius_lag4,100,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
temp_anomaly_celsius_lag4,100,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
precipitation_mm_lag4,100,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
heat_wave_days_lag4,100,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
extreme_weather_events_lag4,100,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
respiratory_disease_rate_roll4_mean,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
pm25_ugm3_roll4_mean,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
air_quality_index_roll4_mean,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
temp_anomaly_celsius_roll4_mean,25,0,0,Missing values are expected for early weeks after lag/rolling feature creation and are handled by SimpleImputer in the pipeline.
