feature,importance_mean,importance_std
pm25_ugm3,6.190548476105901,0.1103374045828641
aqm_stress_index,1.5403456924563852,0.06725259054618371
precipitation_mm,0.29602074005888357,0.0235964827756411
precip_x_flood,0.22340652085513052,0.02299874104770805
temp_anomaly_celsius,0.14535034233592423,0.01720077473730185
air_quality_index,0.07765663709521427,0.014217647595033927
gdp_per_capita_usd,0.0753138458267701,0.01522630578916375
temperature_celsius_lag2,0.06936177208427381,0.019473133465251882
extreme_weather_events_lag4,0.06736017639509359,0.01089108972184598
week,0.058036181067352643,0.0056155541935767
