column,missing_count,missing_percent
record_id,0,0.0
country_code,0,0.0
country_name,0,0.0
region,0,0.0
income_level,0,0.0
date,0,0.0
year,0,0.0
month,0,0.0
week,0,0.0
latitude,0,0.0
longitude,0,0.0
population_millions,0,0.0
temperature_celsius,0,0.0
temp_anomaly_celsius,0,0.0
precipitation_mm,0,0.0
heat_wave_days,0,0.0
drought_indicator,0,0.0
flood_indicator,0,0.0
extreme_weather_events,0,0.0
pm25_ugm3,0,0.0
air_quality_index,0,0.0
respiratory_disease_rate,0,0.0
cardio_mortality_rate,0,0.0
vector_disease_risk_score,0,0.0
waterborne_disease_incidents,0,0.0
heat_related_admissions,0,0.0
healthcare_access_index,0,0.0
gdp_per_capita_usd,0,0.0
mental_health_index,0,0.0
food_security_index,0,0.0
