country_code,country_name,region,income_level,mean_resp,mean_pm25,mean_aqi
ARG,Argentina,South America,Upper-Middle,64.48191489361703,45.606205673758865,68.46099290780141
AUS,Australia,Oceania,High,62.88475177304964,44.59060283687943,66.72163120567376
BGD,Bangladesh,South Asia,Lower-Middle,81.91117021276597,104.04343971631205,156.55851063829786
BRA,Brazil,South America,Upper-Middle,62.78847517730496,43.956205673758866,66.13829787234043
CAN,Canada,North America,High,63.43847517730497,45.028723404255324,67.59929078014184
CHN,China,East Asia,Upper-Middle,63.609219858156024,45.21117021276596,68.98404255319149
COL,Colombia,South America,Upper-Middle,62.90939716312057,42.047340425531914,63.12943262411348
DEU,Germany,Europe,High,63.637943262411355,45.665070921985816,69.18085106382979
EGY,Egypt,Africa,Lower-Middle,81.28031914893617,103.57890070921985,154.7304964539007
ESP,Spain,Europe,High,64.1531914893617,46.84414893617021,69.88652482269504
FRA,France,Europe,High,64.21950354609929,44.20673758865248,66.26063829787235
GBR,United Kingdom,Europe,High,63.08120567375887,42.72570921985815,63.88297872340426
IDN,Indonesia,Southeast Asia,Lower-Middle,81.96081560283689,102.65726950354609,153.33156028368793
IND,India,South Asia,Lower-Middle,81.17819148936171,103.21648936170213,154.6418439716312
ITA,Italy,Europe,High,63.42482269503546,45.743262411347516,68.71985815602837
JPN,Japan,East Asia,High,63.87570921985816,45.920212765957444,68.77304964539007
KEN,Kenya,Africa,Lower-Middle,81.61117021276596,103.4627659574468,155.61170212765958
MEX,Mexico,North America,Upper-Middle,64.64645390070922,45.69521276595744,68.22163120567376
NGA,Nigeria,Africa,Lower-Middle,81.54645390070921,104.87606382978723,156.4095744680851
PAK,Pakistan,South Asia,Lower-Middle,81.05035460992909,101.87287234042553,152.93262411347519
PHL,Philippines,Southeast Asia,Lower-Middle,81.50017730496454,103.24521276595745,154.78900709219857
THA,Thailand,Southeast Asia,Upper-Middle,63.77624113475178,44.4209219858156,68.02836879432624
USA,United States,North America,High,62.570035460992905,43.09734042553192,63.63475177304964
VNM,Vietnam,Southeast Asia,Lower-Middle,81.55478723404255,103.23882978723404,155.6950354609929
ZAF,South Africa,Africa,Upper-Middle,63.33102836879432,43.39308510638298,66.4290780141844
