feature_set,model,split,phase,MAE,RMSE,R2,MAPE_percent
baseline_raw,Ridge,test,feature_ablation,7.9449297013390066,9.962136427249096,0.5770135884973957,12.48607091152496
AQM_Lag_proposed,Ridge,test,feature_ablation,7.942100389881219,9.969379150902435,0.5763983214093448,12.489145192593208
lag_enhanced,Ridge,test,feature_ablation,7.943180898398894,9.969769463267314,0.5763651517992823,12.490330148723455
AQM_Lag_proposed,Ridge,test,model_comparison,7.942100389881219,9.969379150902435,0.5763983214093448,12.489145192593208
AQM_Lag_proposed,RandomForest,test,model_comparison,8.044814660964953,10.073266554050935,0.56752391352295,12.604505700585866
AQM_Lag_proposed,ExtraTrees,test,model_comparison,8.101077021276597,10.189839493714294,0.5574563306860891,12.710802154701387
baseline_raw,Ridge,validation,feature_ablation,8.034292743144864,9.959239689501159,0.5826790875721748,12.366390439080192
lag_enhanced,Ridge,validation,feature_ablation,8.05493119068887,9.975097872084868,0.5813490221571518,12.385937209119657
AQM_Lag_proposed,Ridge,validation,feature_ablation,8.055690748333879,9.975574020423595,0.5813090536820991,12.385423470249442
AQM_Lag_proposed,Ridge,validation,model_comparison,8.055690748333879,9.975574020423595,0.5813090536820991,12.385423470249442
AQM_Lag_proposed,RandomForest,validation,model_comparison,8.162264588736575,10.106369589927217,0.5702576725876609,12.552522500012458
AQM_Lag_proposed,ExtraTrees,validation,model_comparison,8.210672380952381,10.184845954110076,0.5635578281809427,12.626774005005103
